Product,Review Text,Review Date,source,features,like_count
Tesla Cybertruck,"2 rules: <br><br>1). If you don&#39;t like the Cybertruck, don&#39;t buy one. <br>2). If you have to go out of your way to hate on it, get a life.",2025-03-24T01:28:25Z,YouTube,none,1
Tesla Cybertruck,Yeah i guess if everyone in the world wants to light one on fire or piss on it that does kinda make it iconic,2025-03-23T19:56:32Z,YouTube,none,1
Tesla Cybertruck,A year later and CyberTrucks are “delaminating” and 8 recalls. It certainly will be iconic but for the wrong reasons.,2025-03-23T17:59:45Z,YouTube,none,9
Tesla Cybertruck,"I have never been a sheep/follower, so im not going to talk smack about the Cyber truck. If i could afford it id buy 2 and i hate electric cars.",2025-03-22T22:50:08Z,YouTube,none,0
Tesla Cybertruck,Blue hoodie guy never owned a real truck.,2025-03-22T09:01:29Z,YouTube,none,1
Tesla Cybertruck,Omly a ifiot would buy that over priced crap.why praise it?,2025-03-22T08:55:56Z,YouTube,none,1
Tesla Cybertruck,"&quot;Already Iconic&quot; Cybertruck is being recalled across America? <br><br>&quot;Already Iconic&quot; Cybertruck is being recalled across America?<br><br>10 months ago you came down hard on Fisker, whose manufacturer makes G Wagons and you said &quot;shitty build quality&quot; - yikes.",2025-03-22T00:08:00Z,YouTube,build_quality,4
Tesla Cybertruck,Fugly!<br><br>Best reviewer period.,2025-03-21T10:34:11Z,YouTube,none,0
Tesla Cybertruck,Total Recall,2025-03-20T16:53:46Z,YouTube,none,0
Tesla Cybertruck,This is an awesome video. I love the look of these cybertrucks.,2025-03-20T09:43:33Z,YouTube,design,1
Tesla Cybertruck,"Yeah, definitely iconic for being the shittiest truck ever built lol. So many quality control issues being identified over the last few months",2025-03-20T00:18:36Z,YouTube,build_quality,2
Tesla Cybertruck,Can in haul a 4 X 8 sheet of drywall?,2025-03-19T22:28:02Z,YouTube,none,1
Tesla Cybertruck,Looks like a demo of making metallic boxes.,2025-03-19T20:29:55Z,YouTube,design,0
Tesla Cybertruck,As iconic as tesla&#39;s shares tanking. Keep not talking about important things and suck up to big companies....,2025-03-19T10:20:07Z,YouTube,none,2
Tesla Cybertruck,video delete button —-&gt;,2025-03-18T22:26:13Z,YouTube,none,1
Tesla Cybertruck,"Well,  this did not age too well. My &quot;COOL&quot; neighbor could not get rid of it fast enough after only 8 months..LMAO <a href=""UCkszU2WH9gy1mb0dV-11UJg/Mm5IY53bH7SEq7IP-MWAkAM""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/Mm5IY53bH7SEq7IP-MWAkAM""></a>",2025-03-18T20:30:03Z,YouTube,none,1
Tesla Cybertruck,"Dont like the front of that thing, its too short  compared to the back, looks ugly and weird",2025-03-18T09:07:36Z,YouTube,design,0
Tesla Cybertruck,foreigners finally catching up on fortuner !,2025-03-18T07:16:38Z,YouTube,none,0
Tesla Cybertruck,These things are practically a scam. The sheer number of problems these things have with basic vehicle function is staggering. Also notable that Marques has already sold his. Yikes.,2025-03-18T05:53:33Z,YouTube,none,2
Tesla Cybertruck,"Uhhh, “iconic” is not the “onic” word that applies here.",2025-03-16T20:19:13Z,YouTube,none,0
Tesla Cybertruck,Really enjoyed this video.  Marques is really smooth.<br><br>Never have had a real interest in an EV but now I think I will test drive a cyber truck.,2025-03-16T17:40:06Z,YouTube,none,0
Tesla Cybertruck,STATUS SYMBOL - Pure and Simple,2025-03-16T17:08:31Z,YouTube,none,0
Tesla Cybertruck,Cybertruck are not good on the snow .,2025-03-16T03:22:11Z,YouTube,none,0
Tesla Cybertruck,❤️❤️❤️,2025-03-15T17:10:51Z,YouTube,none,0
Tesla Cybertruck,😊,2025-03-15T16:50:46Z,YouTube,none,1
Tesla Cybertruck,Swastitruck,2025-03-14T15:30:31Z,YouTube,none,3
Tesla Cybertruck,I would say it&#39;s so ugly,2025-03-14T13:03:09Z,YouTube,none,1
Tesla Cybertruck,Looks 💩.,2025-03-14T03:26:58Z,YouTube,design,2
Tesla Cybertruck,this video didnt age well,2025-03-14T03:05:18Z,YouTube,none,9
Tesla Cybertruck,The ugliest car in the world. Covering it with swatika&#39;s is just an effort to improve the &quot;car&quot;.,2025-03-13T13:12:14Z,YouTube,none,4
Tesla Cybertruck,"I suggest a renderer, like V-ray. The car lines were very obtuse in the video.",2025-03-12T14:19:35Z,YouTube,none,1
Tesla Cybertruck,LOVE IS LOVE 🏳️‍🌈 🏳️‍⚧️☮️🩷,2025-03-12T00:26:38Z,YouTube,none,0
Tesla Cybertruck,"The only made in america, that can match to Luxury cars from europe",2025-03-11T23:46:52Z,YouTube,none,1
Tesla Cybertruck,Cyberjunk.....,2025-03-11T08:17:12Z,YouTube,none,3
Tesla Cybertruck,"Crap car, looks stupid, no good.",2025-03-10T12:40:22Z,YouTube,design,2
Tesla Cybertruck,Sure Tesla makes a profit on every vehicle because their overhyped crap is hideously overpriced. Tesla is despised. If you buy a Tesla get ready to be stuck with it.,2025-03-08T21:36:18Z,YouTube,price,0
Tesla Cybertruck,"It&#39;s an overhyped piece of crap. If you buy one, get ready to be stuck with it!",2025-03-08T21:32:40Z,YouTube,none,0
Tesla Cybertruck,"<a href=""https://www.youtube.com/watch?v=O0cs8aIXgkc&amp;t=835"">13:55</a> give me chills 🥶",2025-03-08T15:45:03Z,YouTube,none,1
Tesla Cybertruck,Intro is A1,2025-03-08T08:29:38Z,YouTube,none,0
Tesla Cybertruck,Elon Musk REALLY REALLY REALLY needs to hire better designers for his vehicles.,2025-03-07T21:22:53Z,YouTube,none,2
Tesla Cybertruck,Please stop making expensive crap iconic!,2025-03-07T17:49:48Z,YouTube,price,0
Tesla Cybertruck,What a Difference a &quot;year&quot; makes ! Tesla Stock is Sinking &amp; CYBERTRUCKS are being Set on Fire.... Thank ELON.,2025-03-06T23:56:10Z,YouTube,none,0
Tesla Cybertruck,Love that opening statement. Go Elon ❤❤,2025-03-05T04:01:47Z,YouTube,none,0
Tesla Cybertruck,no iconic anymore,2025-03-04T22:46:41Z,YouTube,none,0
Tesla Cybertruck,This represt the FUTUR🌏🚅🕔😎,2025-03-04T19:39:19Z,YouTube,none,0
Tesla Cybertruck,"Iconic as in the biggest automotive disaster in history, it makes a Ford Edsel look like a practical car.",2025-03-02T10:47:05Z,YouTube,design,2
Tesla Cybertruck,Biggest peice of useless crap on the road. Tesla vehicles are crap.,2025-02-27T15:50:22Z,YouTube,none,5
Tesla Cybertruck,I wouldn&#39;t mind it so much IF IT WAS PAINTED.,2025-02-27T07:06:53Z,YouTube,none,0
Tesla Cybertruck,i remember when elon use to be likeable,2025-02-26T18:01:48Z,YouTube,none,2
Tesla Cybertruck,They forgot to add textures and pixals to their car,2025-02-25T00:45:38Z,YouTube,none,1
Tesla Cybertruck,Was the head designer for the cybertruck Homer J Simpson?    😅,2025-02-24T16:03:57Z,YouTube,none,1
Tesla Cybertruck,Almost as Iconic as USSR,2025-02-24T13:09:52Z,YouTube,none,1
Tesla Cybertruck,The most dangerous thing about the Tesla Dumptruck is the idiot driving it.,2025-02-23T07:33:10Z,YouTube,none,1
Tesla Cybertruck,Master Marquies cannot say that the cybertruck sucks ass lolz,2025-02-23T02:58:07Z,YouTube,none,0
Tesla Cybertruck,Cool but the idea was stolen from James Cameron in aliens,2025-02-22T14:20:51Z,YouTube,none,0
Tesla Cybertruck,You would think that they would take it out of the box first!  haha,2025-02-22T01:10:17Z,YouTube,none,0
Tesla Cybertruck,So how much does it cost when it&#39;s time to replace the batteries.,2025-02-19T16:06:45Z,YouTube,price,1
Tesla Cybertruck,The truck is very ugly,2025-02-19T02:12:53Z,YouTube,none,2
Tesla Cybertruck,Variety reduces anxiety,2025-02-18T23:48:07Z,YouTube,none,0
Tesla Cybertruck,The word is moronic.,2025-02-18T14:05:54Z,YouTube,none,2
Tesla Cybertruck,If they made a smaller SUV or coupe using similar styling cues it would sell in huge numbers. There are elements of the design that are very cool.,2025-02-18T08:36:23Z,YouTube,design,0
Tesla Cybertruck,"I will say to be honest I hated the design and think it’s so stupid. But now it’s kinda growing on me and after seeing its features kinda cool <br><br>BUT my opinion still is not the “cyber truck is a real truck to do real truck things” I seen videos they do “EXTREME” things and it’s mild at best then an actual capable truck. Also build quality compared to like a Chevy and ford seems worst. To be fair this is like 1 gen issues like I remember watching a video of the front bar for the wheels broke and did the 👉👈 look so yes it’s nice for a road car but anything more I’m concern lol<br><br>Edit: alright I got to admit something else too. Most tucks are not doing truck things. They are on the road 1000% agree and if those who need a truck to do truck things I think most of the time they will be using stronger trucks like 250-350 in fords and chevys numbering scheme. Vs a normal 150 or 1500 I will say though I want it be good in off road conditions which. I think the cyber truck can manage especially for the ground clearance I just wonder on worst conditions like mud, slopes, getting out from being stuck, stuff like that.",2025-02-18T01:47:50Z,YouTube,"design, build_quality",0
Tesla Cybertruck,Elon is so full of shit its actually impressive,2025-02-17T05:41:21Z,YouTube,none,4
Tesla Cybertruck,why does everyone say this is an ugly truck?,2025-02-16T18:43:29Z,YouTube,none,1
Tesla Cybertruck,These Cyber Cans 🥫🥫🥫👽👽🫨 &quot;Can&#39;t &quot;  🤔😎🫨,2025-02-15T23:18:34Z,YouTube,none,1
Tesla Cybertruck,HIGHLY EXPLOSIVE TRUCK BLACK PEOPLE STAY AWAY,2025-02-15T22:34:04Z,YouTube,none,1
Tesla Cybertruck,Could Musk Tesla OS and Warp operation systems be targeted with malware of a Stuxnet (target specific) design or is Elon proprietary units too smart for all the black-hatters of the world and deemed Mr untouchable.,2025-02-15T21:12:49Z,YouTube,design,0
Tesla Cybertruck,hmmmm,2025-02-14T19:03:42Z,YouTube,none,0
Tesla Cybertruck,"It’s already iconic, it’s the worst, most dangerous, most pedestrian unfriendly, most driver unfriendly vehicle ever built.",2025-02-14T12:10:42Z,YouTube,none,1
Tesla Cybertruck,"I think there was a Infiniti car in like 2013 or 14 that had full steer-by-wire so no, Tesla deffinitely are not the first to do this.",2025-02-13T22:31:32Z,YouTube,none,2
Tesla Cybertruck,Stupid truck.  Not a penny for Elon,2025-02-13T11:12:24Z,YouTube,none,2
Tesla Cybertruck,Cool car 🚗,2025-02-13T06:42:47Z,YouTube,none,0
Tesla Cybertruck,I m so sorry . It s so ugly,2025-02-11T04:10:19Z,YouTube,none,1
Tesla Cybertruck,most people calling cyber truck  spaceship...,2025-02-10T02:55:23Z,YouTube,none,0
Tesla Cybertruck,Where do the license plates go?,2025-02-09T12:46:01Z,YouTube,none,0
Tesla Cybertruck,They’re actually gonna make a truck a regular truck. I’m excited for that one not this.,2025-02-09T01:47:27Z,YouTube,none,0
Tesla Cybertruck,"The bulletproof glass shouldve been listed as a hazard, this car just sucks. It looks like a joke",2025-02-06T16:13:57Z,YouTube,design,1
Tesla Cybertruck,lmao its a swasticar now,2025-02-04T21:04:48Z,YouTube,none,4
Tesla Cybertruck,Tesla ? Nope 👎,2025-02-04T19:32:22Z,YouTube,none,2
Tesla Cybertruck,These thing look great at distance  . Guy has here in town up close its a piece of SHIT . The door panels look like someone hung a piece of plywood on the poorly I might add . And it like a Hummer too wide . In real life I don&#39;t why anyone would buy one .,2025-02-03T22:29:13Z,YouTube,design,0
Tesla Cybertruck,please stop making reviews about Tesla…its just an another EV from an crazy idiot he thinks is revolutionair…🤢NOT…,2025-02-03T18:09:23Z,YouTube,none,1
Tesla Cybertruck,It&#39;s Honest to It&#39;s na CYBERTRUCK a Truck that is only useful for the Cyber Space In Real World: Overhype Accessory Wanna Be Truck. UseLess. Good for blogging though. Minimalism= Paying more for less. Probable buyer = Influencers,2025-02-02T19:06:57Z,YouTube,none,0
Tesla Cybertruck,This is exactly the information I have been looking for . Finally a great tutorial. I&#39;m very interested in buying a cyber truck. Thank you for breaking it. Down.,2025-01-31T14:11:57Z,YouTube,none,1
Tesla Cybertruck,Wonder how Marques feels about the Swasticar now....,2025-01-31T01:12:47Z,YouTube,none,0
Tesla Cybertruck,Worst review,2025-01-29T01:32:13Z,YouTube,none,1
Tesla Cybertruck,So if there&#39;s a shortcurcuit you will have zero control over your vehicle. Great.,2025-01-28T16:29:52Z,YouTube,none,1
Tesla Cybertruck,This is NOT the vehicle I imagined the future would bring,2025-01-28T16:27:53Z,YouTube,none,1
Tesla Cybertruck,Looks like Tin can 😅,2025-01-27T21:45:58Z,YouTube,design,0
Tesla Cybertruck,Garbage,2025-01-27T00:09:43Z,YouTube,none,0
Tesla Cybertruck,اچھی ویڈیو، Pakwheels ۔ <br>لیکن ہمارے پاس اصل سائبر ٹرک کا اردو جائزہ ہے۔<br> سلام، <br>Car Qabila,2025-01-26T16:02:10Z,YouTube,none,0
Tesla Cybertruck,Okey! But have you seen the Car Qabila review of the Tesla Cyber Truck?,2025-01-26T15:46:31Z,YouTube,none,0
Tesla Cybertruck,Same as garbage truck in yugoslavia 1973,2025-01-25T12:56:30Z,YouTube,none,0
Tesla Cybertruck,"With all the beautiful features you are talking about, you can as well give it a beautiful look, this thing is very ugly man",2025-01-22T13:11:38Z,YouTube,design,0
Tesla Cybertruck,"What, other than cheapness, is Tesla&#39;s fascination with deleting convention turn signal control stalks, which have been universally standard equipment on cars and trucks since the 1930s?",2025-01-21T23:29:08Z,YouTube,none,0
Tesla Cybertruck,It&#39;s just plain ugly. Like they ran out of design ideas.,2025-01-21T15:47:18Z,YouTube,design,1
Tesla Cybertruck,9 months later and everyone’s bored by it now!,2025-01-21T09:18:22Z,YouTube,none,2
Tesla Cybertruck,Douche mobile!,2025-01-20T18:08:46Z,YouTube,none,0
Tesla Cybertruck,"To fix it they need to double the battery at all costs. Save money by dumping the stainless steel, steer by wire,  4 wheel steering, make the bed functional in size and shape,and add retractable running boards rather than the elevator ride.",2025-01-20T03:10:12Z,YouTube,battery,0
Tesla Cybertruck,"I wanted one like no other vehicle, but I passed on it. It offers something for everybody.  Most of it is not for me.",2025-01-20T03:04:14Z,YouTube,none,0
Tesla Cybertruck,It’s absolutely horrific,2025-01-19T20:51:00Z,YouTube,none,0
Tesla Cybertruck,It looks like garbage tunk they should modify and use it for picking garbage...,2025-01-18T16:51:52Z,YouTube,design,2
Tesla Cybertruck,Being iconic requires it to be a proud product of the maker. These things are a joke. They are only legalised to be on the road in the US due to Musky paying millions to whoever signed it off as being safe. They are banned in the rest of the world due to the likely serious pedestrian injuries they would cause in a crash! And they look best a Hot Wheels toy.,2025-01-18T12:18:23Z,YouTube,design,0
Tesla Cybertruck,Eye catching Eyesore! ☘️,2025-01-18T11:53:26Z,YouTube,none,0
Tesla Cybertruck,"<a href=""https://www.youtube.com/watch?v=O0cs8aIXgkc&amp;t=1463"">24:23</a> -- it&#39;s not the truck, its you marques. They are liking and disliking you out in the real world. 😅",2025-01-15T10:30:23Z,YouTube,none,1
Tesla Cybertruck,So ugly compared to other Tesla models. It looks like 60s Soviet brutalist architecture on wheels. It would look perfect parked in front of a dilapidated apartment in Vladivostok.,2025-01-15T02:03:22Z,YouTube,design,0
Tesla Cybertruck,"<a href=""https://www.youtube.com/watch?v=O0cs8aIXgkc&amp;t=1608"">26:48</a>",2025-01-14T02:22:14Z,YouTube,none,0
Tesla Cybertruck,"<a href=""https://www.youtube.com/watch?v=O0cs8aIXgkc"">0:00</a>",2025-01-14T02:21:17Z,YouTube,none,0
Tesla Cybertruck,We all admit its most  horrible and ugly design ever made in human history,2025-01-13T04:05:22Z,YouTube,design,0
Tesla Cybertruck,Wow. You are genius. Love this review.,2025-01-12T22:18:51Z,YouTube,none,0
Tesla Cybertruck,Its just a box on the roads,2025-01-11T05:16:33Z,YouTube,none,0
Tesla Cybertruck,"Already outdated.  Already declining sales. AMC Pacer and Gremlin are icons. Plymouth Duster. I suppose Cybertruck qualifies. Edit: I just thought of the case for you: Lamborghini Countach .  If you ever see one up close, sit n one, or drive one you realize what a terrible design and useless POS it is compared to other supercars. But it serves the same purpose as the Cybertruck: Adolescent boys and over the hill rich men both think it makes them special Well, OK, :&quot;special&quot;. To be fair, Cycbetruck probably works better in some respects, but it is already dated, and in decline because it is an over-priced boat anchor of a working truck and just wretched excess. Just my opinion. Your milage may vary.",2025-01-11T04:04:56Z,YouTube,design,2
Tesla Cybertruck,Bro.that truck is ugly as hell! I&#39;ve seen it in.the parking id be ashamed to own it.,2025-01-10T19:14:35Z,YouTube,none,0
Tesla Cybertruck,How much were you pay to do this?,2025-01-10T04:44:19Z,YouTube,none,0
Tesla Cybertruck,"Hey Marquise, when can I get the sweatshirt with the number 24. Nice shirt , please let me know.",2025-01-09T07:51:39Z,YouTube,none,0
Tesla Cybertruck,"If you leave it at the right spot, John Connor will send somebody back in time to pick it up to use as a decoy so the machines maybe dont blow up his comrades.",2025-01-08T13:57:56Z,YouTube,none,0
Tesla Cybertruck,"All the sad Democrats hating on it 😅<br><br>It is a bit odd, mind you. It reminds me of an old kitcar that was around in the 1970s. SETA it was called. It looked even odder than this, and never caught on.",2025-01-07T10:34:37Z,YouTube,none,1
Tesla Cybertruck,So smart u are the best,2025-01-06T03:46:44Z,YouTube,none,0
Tesla Cybertruck,Looks like a DeLorean that someone has take a chainsaw to.,2025-01-06T01:03:48Z,YouTube,design,0
Tesla Cybertruck,"I was parked by one .....for 30 minutes ..only 1 guy went up to it, nobody paid any attention......just wierd and ugly and nobody has any interest in it <br>To call it *iconic&quot; is just hilarious..It is not....just another underwhelming niche car  project.<br>Nevee going to be mainstream",2025-01-05T20:40:58Z,YouTube,none,0
Tesla Cybertruck,Yk its bad when you cyber truck can have stick drift🙏💀,2025-01-04T14:56:20Z,YouTube,none,1
Tesla Cybertruck,"Great job on this Cybertruck series, Marques! Check out the Throttle House channel for some amazing auto reviews. 🚗 💨",2025-01-04T08:14:13Z,YouTube,none,0
Tesla Cybertruck,"<a href=""https://www.youtube.com/watch?v=O0cs8aIXgkc&amp;t=1029"">17:09</a> ‘my child’ - Marques 2024. 💯 😅",2025-01-04T07:56:00Z,YouTube,none,0
Tesla Cybertruck,⚠️ Who’s here after the first rear bumper snapped off a Cybertruck frame?,2025-01-04T07:27:02Z,YouTube,none,0
Tesla Cybertruck,I’m getting one,2025-01-04T06:01:37Z,YouTube,none,0
Tesla Cybertruck,Just slap a militech logo on the side and you’re good to go 🔥🔥🔥,2025-01-04T00:42:29Z,YouTube,none,0
Tesla Cybertruck,The DeLorean was Iconic Too. If I was to buy a Pickup I would not buy a cybershittruck.,2025-01-03T13:59:41Z,YouTube,none,2
Tesla Cybertruck,"To me, It Looks Like a Shoe Box With a Broken Lid.",2025-01-03T13:44:34Z,YouTube,design,1
Tesla Cybertruck,HOw much did they pay you to lie?,2025-01-03T08:41:36Z,YouTube,none,0
Tesla Cybertruck,I will be happy you delete all videos of this ugly car from your channel and delete your X account as well.<br>Love and respect is reciprocal!!!,2025-01-03T05:21:21Z,YouTube,none,2
Tesla Cybertruck,"This is a piece of crap, just like the inventor.",2025-01-03T02:39:17Z,YouTube,none,2
Tesla Cybertruck,"I keep seeing those reactions too!  I did not liked it at first. BUT, like with most people, we&#39;re ready for more, and new, and that includes RADICAL! <br>Look at a F117 fighter. See? <br>Steer by wire? Used in fighter jets for decades with total reliability. The variable ratio is a novel idea!<br>We could expect challenges and flaws. Nobody did something like that. Closest was the Humvee (street legal), and they did have a lot of problems. But, so far the reviews are not bad at all and the world has welcome the Cybertruck wholeheartedly. Cheers!  P.-S. Yes, if I were into trucks, this would be my first pick.",2025-01-02T23:50:06Z,YouTube,design,0
Tesla Cybertruck,What a hunk of junk!!!,2025-01-02T14:13:25Z,YouTube,none,3
Tesla Cybertruck,personally the fiat 500 is probably more memorable,2025-01-02T12:17:49Z,YouTube,none,0
Tesla Cybertruck,It’s a flipping armored looking vehicle.<br><br>Never!! Only the greedy would desire this vehicle,2025-01-02T08:15:06Z,YouTube,none,0
Tesla Cybertruck,Ugly,2025-01-02T06:39:44Z,YouTube,none,1
Tesla Cybertruck,The headlights are a flaw because snow and dirt can get stuck in front of them,2025-01-01T01:20:01Z,YouTube,none,4
Tesla Cybertruck,"No permite estacionarse como.un auto ó camioneta normal, es muy grande, definitivamente IMPRACTICO",2024-12-31T21:11:59Z,YouTube,none,1
Tesla Cybertruck,Ese auto parece un sarcófago,2024-12-31T21:09:02Z,YouTube,none,1
Tesla Cybertruck,Can it tow?,2024-12-31T16:49:06Z,YouTube,none,0
Tesla Cybertruck,"Gracias , desconocía como era realmente así que eliminé algunos prejuicios",2024-12-31T16:03:27Z,YouTube,none,0
Tesla Cybertruck,"Great video very insightful, quick story I live n the Bahamas and earlier this year there was a big stir over someone importing one into the country, fast forward to the end of the year just this pass weekend one was given away as a grand prize in and online casinos raffle… to mix reviews and a lot of curious conversations…a lot of “would you drive that thing if you were the winner?” After watching your video I would definitely drive one…,",2024-12-31T03:43:50Z,YouTube,none,0
Tesla Cybertruck,"Not truck!  Glorified station wagon! I have a hhr,way better lookin,better mileage  compared  to price,I fill it up,go 400+ miles,carries 1000 lbs with ease,will tow1200 # trailor!! Cheap insurance,now knock my hhr!!😂😂😂😂😂",2024-12-31T01:02:21Z,YouTube,price,0
Tesla Cybertruck,Cybertruck is stupid.  Will not be iconic.  Will be a running joke in the future.<br><br>No one has ever seen a PT Cruiser.  You’ve seen it everywhere?  Like where?,2024-12-30T10:51:32Z,YouTube,none,0
Tesla Cybertruck,"You didn&#39;t mention it can&#39;t make it through a car wash without getting perma spots on that stupid stainless exterior. Anyways, you say millions are going to buy this thing?  What planet do you live on now, Marques?",2024-12-30T02:06:35Z,YouTube,design,1
Tesla Cybertruck,Link to that hoodie please,2024-12-29T14:56:49Z,YouTube,none,0
Tesla Cybertruck,Bro is flexing his car😂😂😂,2024-12-28T16:05:25Z,YouTube,none,0
Tesla Cybertruck,"Opinion of the bikers who think everyone should hear their motor without proper exhaust... I mean, we can equate it to 0. And no, it&#39;s not because we multiplied it by 0 😉",2024-12-24T22:49:04Z,YouTube,none,0
Tesla Cybertruck,You forgot to mention the one reason why the Cybertruck will never be sold in the EU. <br>Safety.,2024-12-23T20:29:41Z,YouTube,none,1
Tesla Cybertruck,"Am I the only one who is afraid of riding in a Tesla and having the steering wheel or pedals fall apart, because Tesla has serious assembly issues with their cars, like gaps and stuff",2024-12-21T20:06:31Z,YouTube,none,0
Tesla Cybertruck,The most dangerous thing about cyber truck is.... &quot;Existing&quot;!,2024-12-20T20:07:16Z,YouTube,none,0
Tesla Cybertruck,"But the question is, how fast will it go on a school zone?",2024-12-19T23:07:53Z,YouTube,none,0
Tesla Cybertruck,"JerryRigEverything says he didnt got any explanation of the dent at the back of this car. Well he shouldve watched this video lmao. <a href=""https://www.youtube.com/watch?v=O0cs8aIXgkc&amp;t=410"">6:50</a>",2024-12-17T09:28:34Z,YouTube,none,1
Tesla Cybertruck,another reason it is dangerous is because <br>the lights when it shows you left or right to turn it is hard to see for the drivers,2024-12-14T14:02:45Z,YouTube,none,0
Tesla Cybertruck,the cyber truck has been mewing 🤫🧏🏿,2024-12-14T13:59:18Z,YouTube,none,0
Tesla Cybertruck,At the end of the day it’s basically a Chevy Avalanche for millennials. Every generation’s got one. Now is our time to shine.,2024-12-14T04:43:14Z,YouTube,none,0
Tesla Cybertruck,It surprised me recently that even local people have never heard of Elon Musk,2024-12-13T12:18:00Z,YouTube,none,0
Tesla Cybertruck,"<a href=""https://www.youtube.com/watch?v=O0cs8aIXgkc&amp;t=650"">10:50</a><br><br>Every person in Houston needs this.",2024-12-12T06:09:40Z,YouTube,none,0
Tesla Cybertruck,Over-rated garbage along with the owner of the company!,2024-12-11T01:41:05Z,YouTube,none,0
Tesla Cybertruck,Ill stick to my gas an diesel ill be dead in 20 year an dont have kids so i dont car about the future,2024-12-09T01:45:12Z,YouTube,none,1
Tesla Cybertruck,TESLAS CRME AGAINST AUTOMOBILITY,2024-12-08T11:11:19Z,YouTube,none,0
Tesla Cybertruck,"Ordinary cars made of mild steel ,cyber will kill a whole family like a steam train,permanent recall,insuranc cost<br> Different  stainless on th doors?",2024-12-07T12:13:20Z,YouTube,price,0
Tesla Cybertruck,"You’re insane, Elon! ❤",2024-12-06T16:15:21Z,YouTube,none,0
Tesla Cybertruck,If you look at the reflection on the side of cybertruck it&#39;s wavy. There&#39;s a reason no vehicle has flat panels.<br>I&#39;m the only genius that noticed this.,2024-12-05T06:41:14Z,YouTube,design,0
Tesla Cybertruck,I agree no mention of Safety,2024-12-04T18:37:30Z,YouTube,none,1
Tesla Cybertruck,Great video still hate the truck TF is boat doing driving and parking on the road its definitely for gamers why is it quite on quote bullet proof,2024-12-04T18:04:14Z,YouTube,none,0
Tesla Cybertruck,"Hyu <a href=""https://www.youtube.com/watch?v=O0cs8aIXgkc&amp;t=13"">0:13</a>",2024-12-03T04:58:38Z,YouTube,none,0
Tesla Cybertruck,"Considering the backlash regarding the price increases, how important do you think transparency is for Tesla in maintaining customer trust?",2024-12-02T07:20:08Z,YouTube,price,0
Tesla Cybertruck,"Elon Musk = thumbs down,  Tesla Products = thumbs down",2024-12-01T13:49:09Z,YouTube,none,0
Tesla Cybertruck,"I make one comment about Tesla cars. do you notice the faulty design of the Tesla when it comes to the blind spot warning indicator? On Tesla cars,  when you want to change lanes, you get a warning of the blind spot on the center screen down low in the center dash console, instead of a sound and blinking light on your rear view mirrors where it should be according to ergonomics and natural human instinct. Tesla bombed when it tries to communicate everything throw the computer screen in the center down low in the dashboard.",2024-12-01T13:46:27Z,YouTube,"design, tech",0
Tesla Cybertruck,It looks amazing!!!!❤❤,2024-11-29T07:05:04Z,YouTube,design,0
